ndb_no,max_qty
12195,250
12063,250
09003,250
11007,250
11705,250
09037,250
18007,250
11026,250
09040,250
16018,250
16029,250
16039,250
19002,250
13416,0
11080,250
09042,250
09050,250
18036,250
16054,250
11090,250
11098,250
11109,250
02054,250
11124,250
12088,250
12085,250
08013,250
08037,250
08001,250
11147,250
01016,250
01019,250
01028,250
01044,250
12006,250
05332,250
05118,250
05114,250
16358,250
02010,250
02011,250
12104,250
12117,250
11161,250
11167,250
20029,250
02016,250
11212,250
01124,250
01128,250
01129,250
01123,250
11209,250
09088,250
16138,250
09089,250
04589,250
15192,250
15086,250
15262,250
11215,250
19173,250
11216,250
09110,250
09107,250
09112,250
05306,250
05664,0
09139,250
15034,250
15037,250
16137,250
11233,250
09148,250
09149,250
11247,250
11249,250
11031,250
12132,250
09181,250
01082,250
12135,250
18283,250
11239,250
11243,250
15165,250
11271,250
11274,250
02025,250
01250,250
12737,250
20033,250
20038,250
04047,250
04053,250
11283,250
09206,250
09226,250
11299,250
09231,250
20125,250
16097,250
16390,250
16086,250
02030,250
02031,250
02064,250
09278,250
09286,250
19034,250
02033,250
11356,250
01224,250
09289,250
12016,250
09298,250
09302,250
20037,250
02063,250
02037,250
02038,250
15209,250
12012,250
12198,60
11451,0
16222,0
20127,250
02065,250
11457,250
11468,250
09316,250
12036,250
11508,250
16129,250
11530,250
15116,250
15118,250
15184,250
07944,250
07046,250
05186,0
11565,250
02069,250
02048,250
11602,250
01256,250
01117,250
35165,250
99999,250
99998,250
99997,250
